block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;
36;sobel;sobel.c:53-54;34.68;14.23;14.23;14.23;14.23;0;0;1;
50;sobel;sobel.c:80-80;31.61;12.97;12.97;12.97;12.97;0;0;1;
37;sobel;sobel.c:52-52;7.27;2.98;2.98;2.98;2.98;0;0;1;
35;sobel;sobel.c:53-53;5.22;2.14;2.14;2.14;2.14;0;0;1;
45;sobel;sobel.c:80-82;4.91;2.01;2.01;2.01;2.01;0;0;1;
52;sobel;sobel.c:82-82;3.77;1.54;1.54;1.54;1.54;0;0;1;
27;sobel;sobel.c:18-27;3.17;1.3;1.3;1.3;1.3;0;0;1;
46;sobel;sobel.c:75-82;2.99;1.22;1.22;1.22;1.22;0;0;1;
38;sobel;sobel.c:57-57;1.49;0.61;0.61;0.61;0.61;0;0;1;
34;sobel;sobel.c:50-52;1.3;0.54;0.53;0.53;0.53;0;0;1;
49;sobel;sobel.c:77-78;1.23;0.5;0.5;0.5;0.5;0;0;1;
32;sobel;sobel.c:52-52;1.18;0.48;0.48;0.48;0.48;0;0;1;
48;sobel;sobel.c:77-77;1.17;0.48;0.48;0.48;0.48;0;0;1;
47;sobel;sobel.c:74-74;0.01;0;0;0;0;0;0;1;
