name;time_p;time_s;cpi_ratio;
/home/zakaria/Desktop/Work/AP/sobel_optimisation/maqao_2023-01-16_16-15-59/binaries/sobel;99.99;41.03;;
/usr/lib/libc.so.6;0.01;0;;
