                   0;              5529600 bytes;   108082266.000 ns;          48.791 MiB/s
                   1;              5529600 bytes;   104970906.000 ns;          50.237 MiB/s
                   2;              5529600 bytes;   105096466.000 ns;          50.177 MiB/s
                   3;              5529600 bytes;   104926201.000 ns;          50.259 MiB/s
                   4;              5529600 bytes;   104934997.000 ns;          50.254 MiB/s
                   5;              5529600 bytes;   104965550.000 ns;          50.240 MiB/s
                   6;              5529600 bytes;   105129099.000 ns;          50.162 MiB/s
                   7;              5529600 bytes;   104970876.000 ns;          50.237 MiB/s
                   8;              5529600 bytes;   105662556.000 ns;          49.908 MiB/s
                   9;              5529600 bytes;   104968969.000 ns;          50.238 MiB/s
                  10;              5529600 bytes;   104979978.000 ns;          50.233 MiB/s
                  11;              5529600 bytes;   104508111.000 ns;          50.460 MiB/s
                  12;              5529600 bytes;   104480778.000 ns;          50.473 MiB/s
                  13;              5529600 bytes;   104459456.000 ns;          50.483 MiB/s
                  14;              5529600 bytes;   104607514.000 ns;          50.412 MiB/s
                  15;              5529600 bytes;   104581153.000 ns;          50.424 MiB/s
                  16;              5529600 bytes;   104591898.000 ns;          50.419 MiB/s
                  17;              5529600 bytes;   104631470.000 ns;          50.400 MiB/s
                  18;              5529600 bytes;   104907829.000 ns;          50.267 MiB/s
                  19;              5529600 bytes;   104836408.000 ns;          50.302 MiB/s
                  20;              5529600 bytes;   104890602.000 ns;          50.276 MiB/s
                  21;              5529600 bytes;   104213704.000 ns;          50.602 MiB/s
                  22;              5529600 bytes;   104214326.000 ns;          50.602 MiB/s
                  23;              5529600 bytes;   104255521.000 ns;          50.582 MiB/s
                  24;              5529600 bytes;   104304827.000 ns;          50.558 MiB/s
                  25;              5529600 bytes;   104399818.000 ns;          50.512 MiB/s
                  26;              5529600 bytes;   104327677.000 ns;          50.547 MiB/s
                  27;              5529600 bytes;   104300445.000 ns;          50.560 MiB/s
                  28;              5529600 bytes;   104315713.000 ns;          50.553 MiB/s
                  29;              5529600 bytes;   104336165.000 ns;          50.543 MiB/s
                  30;              5529600 bytes;   104393373.000 ns;          50.515 MiB/s
                  31;              5529600 bytes;   104265551.000 ns;          50.577 MiB/s
                  32;              5529600 bytes;   104233502.000 ns;          50.593 MiB/s
                  33;              5529600 bytes;   104393910.000 ns;          50.515 MiB/s
                  34;              5529600 bytes;   104184860.000 ns;          50.616 MiB/s
                  35;              5529600 bytes;   104170469.000 ns;          50.623 MiB/s
                  36;              5529600 bytes;   104253390.000 ns;          50.583 MiB/s
                  37;              5529600 bytes;   104270276.000 ns;          50.575 MiB/s
                  38;              5529600 bytes;   104380130.000 ns;          50.521 MiB/s
                  39;              5529600 bytes;   104186622.000 ns;          50.615 MiB/s
                  40;              5529600 bytes;   104275235.000 ns;          50.572 MiB/s
                  41;              5529600 bytes;   104479380.000 ns;          50.473 MiB/s
                  42;              5529600 bytes;   104294504.000 ns;          50.563 MiB/s
                  43;              5529600 bytes;   104291707.000 ns;          50.564 MiB/s
                  44;              5529600 bytes;   104333800.000 ns;          50.544 MiB/s
                  45;              5529600 bytes;   104273249.000 ns;          50.573 MiB/s
                  46;              5529600 bytes;   104463763.000 ns;          50.481 MiB/s
                  47;              5529600 bytes;   104238380.000 ns;          50.590 MiB/s
                  48;              5529600 bytes;   104231752.000 ns;          50.593 MiB/s
                  49;              5529600 bytes;   104503076.000 ns;          50.462 MiB/s
                  50;              5529600 bytes;   104181752.000 ns;          50.618 MiB/s
                  51;              5529600 bytes;   104276740.000 ns;          50.572 MiB/s
                  52;              5529600 bytes;   104390244.000 ns;          50.517 MiB/s
                  53;              5529600 bytes;   104606713.000 ns;          50.412 MiB/s
                  54;              5529600 bytes;   104790782.000 ns;          50.323 MiB/s
                  55;              5529600 bytes;   104295321.000 ns;          50.563 MiB/s
                  56;              5529600 bytes;   104264509.000 ns;          50.577 MiB/s
                  57;              5529600 bytes;   104476648.000 ns;          50.475 MiB/s
                  58;              5529600 bytes;   104260455.000 ns;          50.579 MiB/s
                  59;              5529600 bytes;   104277834.000 ns;          50.571 MiB/s
                  60;              5529600 bytes;   104342076.000 ns;          50.540 MiB/s
                  61;              5529600 bytes;   104372527.000 ns;          50.525 MiB/s
